YD,BF,FT,FIE,CS
3.25,4.0,3.5,3.5,4.0
4.0,3.6,3.25,3.75,3.5
4.0,3.6,3.0,3.75,3.5
3.0,3.4,2.75,2.75,2.25
3.0,3.0,3.5,3.75,2.25
4.0,3.4,3.5,3.5,4.5
2.5,3.0,2.5,3.5,3.5
4.0,4.0,4.0,3.5,4.75
3.0,3.4,3.5,3.0,3.75
2.75,3.0,2.5,2.75,3.0
4.0,3.4,3.75,3.5,3.75
3.0,3.4,3.75,3.75,3.25
3.0,3.6,3.75,2.5,3.25
4.0,3.6,3.25,3.75,3.75
3.75,3.8,3.0,4.75,4.25
2.25,3.0,2.75,2.5,2.75
3.0,3.4,4.0,3.5,3.25
4.0,3.8,3.75,4.0,3.0
3.25,3.2,3.75,3.75,3.0
3.5,3.2,3.5,3.75,2.75
4.25,4.2,3.5,3.0,3.75
3.5,3.2,3.25,3.0,3.75
3.0,3.4,3.25,3.5,4.5
3.0,3.0,3.25,2.75,2.25
3.5,3.4,3.25,4.5,4.5
3.5,3.2,4.0,2.25,3.0
3.0,3.2,4.0,3.5,2.5
3.75,3.6,3.25,3.5,3.75
3.75,4.0,3.25,4.5,3.5
3.5,3.6,3.5,4.25,4.25
4.0,3.2,3.75,2.75,3.75
4.0,4.0,3.75,4.0,4.5
3.25,4.0,3.5,3.75,3.75
3.0,3.4,3.75,3.25,3.0
4.0,3.6,3.25,3.25,4.5
3.25,3.6,3.5,3.5,3.5
3.5,3.6,4.0,2.5,3.0
3.25,3.6,4.25,2.5,3.75
4.0,3.2,3.25,4.0,4.0
4.0,4.0,4.0,3.5,4.25
3.0,3.4,4.25,4.5,3.0
3.0,3.2,3.0,2.75,2.75
3.25,3.8,3.5,3.5,2.5
3.0,3.4,4.0,3.5,2.75
3.0,3.6,3.5,2.75,3.25
3.5,3.6,4.0,4.5,4.5
3.5,3.6,4.0,3.5,4.25
4.0,3.6,4.0,3.25,3.75
4.5,3.6,4.25,4.75,4.5
3.0,3.6,4.0,3.25,3.25
4.0,4.0,3.25,4.5,3.5
3.0,3.4,4.0,3.5,3.0
4.0,3.6,3.5,4.5,3.75
3.25,3.6,3.75,2.0,3.75
2.25,3.2,3.5,2.25,2.5
3.0,3.6,4.0,3.25,3.25
3.25,4.0,4.0,4.5,3.5
3.5,3.0,4.0,2.75,2.75
3.0,3.2,4.0,3.5,3.25
3.0,3.0,4.0,2.25,2.25
4.0,3.4,4.0,5.0,3.75
3.25,3.6,3.5,3.75,3.5
3.0,3.4,4.0,2.75,3.0
2.5,3.0,2.25,2.25,3.25
3.0,2.8,4.0,2.75,2.5
3.0,3.8,4.0,3.25,3.75
3.0,3.4,3.5,3.5,3.25
3.0,3.4,3.75,3.25,4.25
4.0,3.8,4.0,4.25,4.5
3.5,3.6,3.75,4.5,4.75
3.5,4.0,4.0,4.75,3.5
3.25,3.2,3.75,3.25,3.5
4.0,4.0,4.0,4.5,3.75
4.0,3.8,3.25,3.5,4.25
4.0,3.4,2.75,4.75,4.75
3.75,3.2,2.25,4.0,3.75
2.5,3.0,4.0,3.0,2.0
3.0,3.0,3.5,3.75,3.5
4.0,4.0,4.0,4.5,4.5
3.5,4.0,4.0,3.5,3.5
5.0,4.2,4.5,4.25,4.5
4.25,4.2,3.5,3.5,4.5
4.0,3.6,3.75,3.25,3.75
3.75,3.8,3.5,3.5,4.75
3.75,4.0,3.5,3.75,3.75
3.25,3.6,3.75,3.75,3.0
3.75,4.0,4.0,4.75,4.75
3.5,4.0,3.0,3.25,3.25
3.25,3.0,3.0,3.5,3.5
3.5,4.0,3.75,3.75,3.5
4.0,4.0,3.75,4.75,3.25
4.0,3.2,3.5,3.25,3.5
4.0,4.0,3.75,3.75,4.75
4.75,4.0,4.25,4.5,4.25
4.0,4.2,3.25,4.5,3.25
3.0,2.8,2.75,3.5,3.0
3.0,3.4,3.75,2.25,2.25
3.75,3.6,3.75,4.5,3.75
4.0,4.2,3.5,4.5,3.5
3.0,3.4,3.25,3.0,3.0
4.0,3.6,4.0,4.0,4.0
4.75,4.0,4.25,4.25,4.25
4.0,3.4,4.0,4.0,4.25
3.0,3.4,3.5,3.5,3.5
3.0,3.4,3.5,4.5,4.25
